step,val_cross_entropy_step,val_acc,epoch,val_cross_entropy_epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,2.2600672245025635,,,,,,
1,2.279073715209961,,,,,,
9,,0.514892578125,0,2.2695703506469727,,,
9,,,0,,3.118579149246216,,
2,1.1517224311828613,,,,,,
3,1.1326372623443604,,,,,,
19,,0.795654296875,1,1.1421798467636108,,,
19,,,1,,1.8389005661010742,,
4,0.5732753276824951,,,,,,
5,0.5803254842758179,,,,,,
29,,0.877685546875,2,0.5768004059791565,,,
29,,,2,,0.9849013090133667,,
6,0.3575058579444885,,,,,,
7,0.35355305671691895,,,,,,
39,,0.904541015625,3,0.35552945733070374,,,
39,,,3,,0.5662769675254822,,
49,,,4,,,0.36911430954933167,0.892578125
8,0.28944218158721924,,,,,,
9,0.2906292676925659,,,,,,
49,,0.90966796875,4,0.2900357246398926,,,
49,,,4,,0.3866425156593323,,
